Neighborhood,Bestness_Score
Brookline,0.668623128613486
Squirrel Hill South,0.5786684615759164
Carrick,0.5382119331723285
Mount Washington,0.49252396967902506
Shadyside,0.4922960620726301
Bloomfield,0.46180001690451816
Beechview,0.45909425531778375
Squirrel Hill North,0.44683387736774655
Central Business District,0.43941162553004676
Greenfield,0.4362037619317634
South Side Slopes,0.42845215433713474
Bluff,0.4268279470157535
East Allegheny,0.41414722707722673
Sheraden,0.38274548494138105
North Oakland,0.37897815806016594
Brighton Heights,0.37788864799938887
Marshall-Shadeland,0.37025128932108375
East Liberty,0.3384213838588439
South Side Flats,0.3381295842391744
Highland Park,0.336213502444591
South Oakland,0.3299242346183039
Perry South,0.32763401950345705
Perry North,0.31891512300611013
Lincoln-Lemington-Belmar,0.30884816524645536
Hazelwood,0.30654153852040195
Knoxville,0.3012240634330119
Beltzhoover,0.2905476681961768
Stanton Heights,0.2860434620948494
Point Breeze,0.2838053430012657
Elliott,0.28201460273096773
Central Oakland,0.281522371863525
Garfield,0.2815090242332402
Homewood North,0.2774045572517295
Central Northside,0.2764076185616185
Morningside,0.2744740318136929
Overbrook,0.2676059714235668
Allentown,0.2659043633744626
Crafton Heights,0.25936802854193325
Homewood South,0.2523515859342806
North Shore,0.24932065531522896
Middle Hill,0.2478441892149595
Banksville,0.24744534885698452
Crawford-Roberts,0.24237061708131627
Lincoln Place,0.234915866059471
Troy Hill,0.22973372723415775
Larimer,0.22589693673934702
Manchester,0.2236027694329404
Spring Hill-City View,0.22330246892801803
Central Lawrenceville,0.2219344906987926
Westwood,0.2218983420655363
Upper Lawrenceville,0.21797248682677398
Duquesne Heights,0.21600620449481228
East Hills,0.21582706353552877
Upper Hill,0.20523585404865982
Fineview,0.20032412331152882
Chateau,0.1978920232113508
Strip District,0.19710910165592196
Lower Lawrenceville,0.1945239645730098
Polish Hill,0.1945081072499287
Friendship,0.18689395336178466
West Oakland,0.1867138348904035
Summer Hill,0.18666078587406815
West End,0.18007914322058283
South Shore,0.17294575149660174
Arlington,0.1723215174154594
Terrace Village,0.15965457096858182
California-Kirkbride,0.15585983729209646
Spring Garden,0.15171176190015312
Bon Air,0.1489002113616591
Homewood West,0.147668722393816
Mt. Oliver,0.147626794126648
Allegheny West,0.14249935519008539
Point Breeze North,0.14085196920314783
Chartiers City,0.12841281369880608
Windgap,0.1254875915202011
Bedford Dwellings,0.12343387112494966
Oakwood,0.12124267567904842
Swisshelm Park,0.11465812172907561
Northview Heights,0.11278818812863331
Ridgemont,0.10705204397211424
Regent Square,0.10147303260745696
New Homestead,0.09978632919000537
Allegheny Center,0.09895825180888898
Hays,0.09881085745380719
Esplen,0.08176586803668422
Fairywood,0.07312327435509942
East Carnegie,0.060345856875162696
St. Clair,0.060139692551034914
Glen Hazel,0.022692898836154232
Arlington Heights,0.014448176776477662
