Neighborhood,Crime Count,shape_area,Crime per Sq Ft,Crime per 1000 Sq Ft,Safety Score (out of 1)
central business district,18206,15022234.1894531,0.0012119369043508,1.212,0.0
east allegheny,5496,6549069.72595215,0.0008392031586136,0.839,0.3103161397670549
knoxville,5937,8353046.22396851,0.0007107586670554,0.711,0.4168053244592346
south side flats,16586,25768409.8275452,0.0006436563261373,0.644,0.4725457570715474
homewood south,6735,10793073.4921875,0.0006240113165981,0.624,0.4891846921797005
allentown,4922,8279836.84082031,0.0005944561583308,0.594,0.5141430948419301
allegheny center,3387,5824823.98840332,0.0005814767977098,0.581,0.5249584026622296
central oakland,4492,7807258.34356689,0.0005753620288101,0.575,0.5299500831946755
bedford dwellings,2568,4897518.68066406,0.0005243471577022,0.524,0.5723793677204658
central northside,3713,7239409.85705566,0.0005128871100427,0.513,0.58153078202995
homewood north,6102,12058814.6192627,0.0005060198860883,0.506,0.5873544093178037
friendship,1495,2960446.67120361,0.0005049913631418,0.505,0.5881863560732113
east liberty,7557,16207926.3116455,0.0004662533537415,0.466,0.6206322795341098
bluff,4202,9067760.65063477,0.0004633999685143,0.463,0.6231281198003327
homewood west,2478,5441943.77459717,0.0004553520033718,0.455,0.6297836938435939
middle hill,3811,8506822.42675781,0.0004479933644803,0.448,0.6356073211314476
north shore,3327,8280524.02124023,0.0004017861661249,0.402,0.6738768718801996
crawford roberts,3925,9984001.84454346,0.0003931289337797,0.393,0.6813643926788685
bloomfield,7501,19568705.4125366,0.0003833161081363,0.383,0.689683860232945
east hills,4686,15069851.7979736,0.0003109519630863,0.311,0.7495840266222962
california kirkbride,1830,6046588.3347168,0.0003026500066976,0.303,0.7562396006655575
north oakland,4128,13855524.5834351,0.0002979317004666,0.298,0.7603993344425957
shadyside,7534,25652611.2301025,0.0002936932982151,0.294,0.7637271214642263
northview heights,2510,8748159.83361816,0.0002869174829607,0.287,0.76955074875208
point breeze north,2401,8417066.64471436,0.0002852537708618,0.285,0.7712146422628953
larimer,3490,12411015.3078003,0.0002812018125387,0.281,0.7745424292845258
manchester,2041,7779427.34790039,0.0002623586427027,0.262,0.7903494176372712
west oakland,1677,6510111.13098145,0.000257599289207,0.258,0.7936772046589018
garfield,3257,12751150.0316772,0.0002554279411589,0.255,0.7961730449251248
mt oliver,704,2879813.07312012,0.0002444603111816,0.244,0.8053244592346089
fineview,1690,6927485.05053711,0.0002439557772656,0.244,0.8053244592346089
sheraden,5871,24745789.0780945,0.0002372524869371,0.237,0.8111480865224626
chateau,2511,10663840.3920288,0.0002354686405356,0.235,0.8128119800332779
carrick,10802,46545518.1370544,0.0002320739016846,0.232,0.8153078202995009
allegheny west,921,4036633.32501221,0.0002281604311923,0.228,0.8186356073211315
mount washington,6571,31573144.7672424,0.0002081199084995,0.208,0.8352745424292846
upper hill,1806,8731493.87145996,0.0002068374583532,0.207,0.8361064891846921
west end,1081,5424176.1315918,0.0001992929384619,0.199,0.8427620632279533
brighton heights,5632,31140783.5141602,0.0001808560788921,0.181,0.8577371048252912
south side slopes,3614,20157759.2112732,0.0001792858006746,0.179,0.8594009983361065
lower lawrenceville,2097,11986161.5759277,0.0001749517547144,0.175,0.8627287853577371
strip district,2766,16956747.1912231,0.0001631209080849,0.163,0.872712146422629
beltzhoover,1863,11580680.6726685,0.0001608713729925,0.161,0.8743760399334443
troy hill,2055,12849587.3544922,0.0001599273146527,0.16,0.875207986688852
perry south,3983,25267480.6677246,0.0001576334440452,0.158,0.8768718801996673
arlington heights,551,3547057.20968628,0.0001553400375092,0.155,0.8793677204658902
south oakland,2044,13491984.5013428,0.0001514973575456,0.151,0.8826955074875208
terrace village,1365,9050535.75482178,0.0001508198008358,0.151,0.8826955074875208
marshall shadeland,5219,34961537.6190186,0.0001492783314301,0.149,0.8843594009983361
arlington,1989,13379981.7000122,0.0001486549118372,0.149,0.8843594009983361
greenfield,3163,21590023.0895691,0.0001465028539746,0.147,0.8860232945091514
elliott,2452,16891265.381073,0.0001451637840435,0.145,0.8876871880199667
south shore,910,6432793.36373901,0.0001414626506005,0.141,0.8910149750415973
polish hill,942,7141448.69689941,0.000131906009548,0.132,0.8985024958402663
spring hill city view,2329,17736692.6433716,0.0001313097118402,0.131,0.8993344425956739
crafton heights,2716,20945507.0193481,0.0001296698140317,0.13,0.9001663893510814
central lawrenceville,3462,26766367.7612305,0.000129341419459,0.129,0.9009983361064892
beechview,5188,40681276.9082336,0.0001275279537489,0.128,0.9018302828618969
morningside,1319,10443469.3857422,0.0001262990249007,0.126,0.903494176372712
highland park,4106,32613824.3579712,0.0001258975321303,0.126,0.903494176372712
upper lawrenceville,1411,11259878.4596558,0.0001253121874321,0.125,0.9043261231281198
lincoln lemington belmar,6208,50685775.4117432,0.0001224801228662,0.122,0.9068219633943426
brookline,6975,58236020.6849365,0.0001197712329579,0.12,0.9084858569051582
spring garden,870,7446261.3258667,0.0001168371565174,0.117,0.910981697171381
hazelwood,5182,44751604.26651,0.0001157947314947,0.116,0.9118136439267887
bon air,993,8776968.86105347,0.0001131370084273,0.113,0.9143094841930116
squirrel hill north,3558,34108372.9526978,0.000104314562437,0.104,0.9217970049916805
point breeze,2778,27972969.4691772,9.93101573667757e-05,0.099,0.9259567387687189
esplen,630,6443186.91796875,9.777770038659858e-05,0.098,0.9267886855241264
squirrel hill south,6877,74619490.9743958,9.216090742778864e-05,0.092,0.9317803660565723
regent square,500,5470265.87573242,9.140323548406216e-05,0.091,0.9326123128119801
perry north,2926,33730438.7110596,8.674657406814628e-05,0.087,0.9359400998336107
chartiers city,314,3736133.87591553,8.404409756945743e-05,0.084,0.9384359400998336
overbrook,1958,23320203.9274597,8.396152992875168e-05,0.084,0.9384359400998336
stanton heights,1711,20579525.1749878,8.314088811337282e-05,0.083,0.9392678868552413
westwood,1493,19248456.6426086,7.756466025931026e-05,0.078,0.9434276206322795
oakwood,536,7036027.74893188,7.617934708705046e-05,0.076,0.9450915141430948
windgap,830,11623461.7171631,7.140729846207773e-05,0.071,0.9492512479201332
st clair,600,8672769.43356323,6.918205362153717e-05,0.069,0.9509151414309485
glen hazel,744,12753337.7091064,5.8337669476811066e-05,0.058,0.9600665557404325
banksville,1574,27254482.6444397,5.775196765003053e-05,0.058,0.9600665557404325
lincoln place,1545,27363669.5533752,5.646172553671371e-05,0.056,0.9617304492512478
duquesne heights,975,17272218.1680603,5.644903222696464e-05,0.056,0.9617304492512478
summer hill,476,12319313.6856689,3.863851608500987e-05,0.039,0.9758735440931781
swisshelm park,412,13202917.1482239,3.120522497980105e-05,0.031,0.9825291181364394
east carnegie,370,12084033.4154968,3.0618915661512884e-05,0.031,0.9825291181364394
fairywood,746,27030641.0297241,2.759830960648196e-05,0.028,0.9850249584026622
ridgemont,259,9970645.98403931,2.5976250727846406e-05,0.026,0.9866888519134775
new homestead,319,22023102.402771,1.4484789389158116e-05,0.014,0.9966722129783694
hays,471,48650423.7234802,9.681313418297748e-06,0.01,1.0
