NEIGHBORHOOD,real_estate_economy_score
Edgeworth,0.6191308608072031
Sewickley Heights,0.6156752835727072
Fox Chapel,0.6045548708765845
Trafford,0.5101155068526884
Ben Avon Heights,0.46991020769902303
Sewickley Hills,0.4336011440000732
Haysville,0.4214992349583647
Pine,0.38501917744942166
Bradford Woods,0.3723528212422755
Marshall,0.3611146791972214
Upper Saint Clair,0.32721289874511955
Ohio,0.32701730302265286
Thornburg,0.32620257125480523
Franklin Park,0.32552330821798914
Rosslyn Farms,0.30602981157791487
Aspinwall,0.2912272147477758
Sewickley,0.2867911266853189
Mt.lebanon,0.28265327245328176
Collier,0.2584131984318831
Edgewood,0.2550882235095176
O''hara,0.2516035150889578
South Fayette,0.2505085510988433
Glen Osborne,0.24848618362126648
Richland,0.23836813475579596
McCandless,0.23386919013484367
Findlay,0.23371009202949491
Ben Avon,0.23270704109483528
Aleppo,0.22344357700351214
Indiana,0.21846719420370736
Oakmont,0.2124660429517076
Robinson,0.21172864717990955
Glenfield,0.20599088965161838
Hampton,0.20491773495861032
Kilbuck,0.20042001335515416
Moon,0.19918291421998274
Pleasant Hills,0.1939079396819535
Churchill,0.19290442533303107
Bethel Park,0.18568494583320594
Greentree,0.18208374535463864
Dormont,0.18131888906860294
South Park,0.18123157082622643
Bell Acres,0.18085084316034547
Whitehall,0.18082750209955578
North Fayette,0.1773308657144428
Shaler,0.1764541498383281
Ross,0.1762512587403152
Kennedy,0.1721126185566142
Pennsbury Village,0.16121658649483728
West View,0.16089202295720995
Leet,0.15631535441990776
Jefferson Hills,0.15495674358610334
Bellevue,0.15295867601533
Baldwin Twp,0.15294130286201163
Blawnox,0.15098456093422633
Crafton,0.14905864746421943
Baldwin Boro,0.14739906889271098
Scott,0.14685648348223984
Monroeville,0.145535190431356
Plum,0.14426483926139136
Castle Shannon,0.14288073692496003
Forest Hills,0.14250124412433088
Cheswick,0.14018628385919535
Emsworth,0.1378563513492162
Carnegie,0.1349637718744377
Oakdale,0.13366647696077288
Brentwood,0.13258599416018937
West Deer,0.13156121733411638
Bridgeville,0.13085616971221495
Harmar,0.13060536032479994
Crescent,0.1254478168820749
Reserve,0.12460221856708636
Leetsdale,0.12088270255573658
Heidelberg,0.12052047657878
Avalon,0.11848152330290967
Ingram,0.11334880494149324
Neville,0.10921995545569874
Springdale Twp,0.10545706184566891
Sharpsburg,0.10454938387287825
South Versailles,0.10361567186761898
Pittsburgh,0.1013428344966102
White Oak,0.10078277560940621
Coraopolis,0.09953339736724573
West Elizabeth,0.09512465752156483
Wilkins,0.09402778127954838
Springdale Boro,0.09361114521056055
Liberty,0.08958388674846496
Swissvale,0.08818142389357753
Penn Hills,0.08807411731528796
West Mifflin,0.08658018965576257
Chalfant,0.08358077542722163
Etna,0.08321394539074799
Elizabeth Twp,0.08106622062548277
Verona,0.07959151605720698
Braddock Hills,0.07880236357377765
McDonald,0.07440469693440055
West Homestead,0.07299938599037156
Munhall,0.07189436383438587
Millvale,0.07074780716216844
Whitaker,0.06875009112190619
Harrison,0.06765078634649478
East Pittsburgh,0.060380362494490775
East McKeesport,0.05948023443359453
Versailles,0.059277775968950897
North Versailles,0.05920037814173543
Wall,0.05627455692706042
East Deer,0.05557657026820391
Lincoln,0.054807992170616965
Port Vue,0.053296496673403776
Stowe,0.05055277403173146
Elizabeth Boro,0.049402650382653776
Brackenridge,0.049233043032073126
Fawn,0.048515459918660395
Dravosburg,0.047912695150118756
McKees Rocks,0.04611418399534531
Mt. Oliver,0.0445970730227923
Wilmerding,0.04220738056071362
Tarentum,0.04211669066514083
Glassport,0.04181208895419674
Pitcairn,0.0409042522267106
Turtle Creek,0.04082377356166088
Clairton,0.03938268002628911
Frazer,0.03846218269627636
Rankin,0.03817420100425968
Wilkinsburg,0.036980625781587284
Homestead,0.027424027062921796
Braddock,0.025307238554137218
North Braddock,0.023599606226100262
McKeesport,0.021739546750274227
Duquesne,0.02147288136067066
Forward,0.014107627851681742
